cik,name,ticker,exchange
0000006281,ANALOG DEVICES INC,ADI,Nasdaq
0000723125,MICRON TECHNOLOGY INC,MU,Nasdaq
0000831001,CITIGROUP INC,C,NYSE
0001594805,SHOPIFY INC.,SHOP,NYSE
0000883241,SYNOPSYS INC,SNPS,Nasdaq
0001327567,Palo Alto Networks Inc,PANW,Nasdaq
0000885725,BOSTON SCIENTIFIC CORP,BSX,NYSE
0001103838,ICICI BANK LTD,IBN,NYSE
0001156375,CME GROUP INC.,CME,Nasdaq
0001610520,UBS Group AG,UBS,NYSE
0001274152,CSL LTD,CSLLY,OTC
0001555280,Zoetis Inc.,ZTS,NYSE
0000087347,SCHLUMBERGER LIMITED/NV,SLB,NYSE
0001559720,"Airbnb, Inc.",ABNB,Nasdaq
0001110646,"NetEase, Inc.",NTES,Nasdaq
0000092122,SOUTHERN CO,SO,NYSE
0001404912,KKR & Co. Inc.,KKR,NYSE
0000798354,FISERV INC,FI,NYSE
0000016868,CANADIAN NATIONAL RAILWAY CO,CNI,NYSE
0000813672,CADENCE DESIGN SYSTEMS INC,CDNS,Nasdaq
0000319201,KLA CORP,KLAC,Nasdaq
0000895728,ENBRIDGE INC,ENB,NYSE
0000821189,EOG RESOURCES INC,EOG,NYSE
0001101239,EQUINIX INC,EQIX,Nasdaq
0001131399,GSK plc,GSK,NYSE
0001303523,British American Tobacco p.l.c.,BTI,NYSE
0000764180,"ALTRIA GROUP, INC.",MO,NYSE
0001017413,CANADIAN NATURAL RESOURCES LTD,CNQ,NYSE
0001099590,MERCADOLIBRE INC,MELI,Nasdaq
0000049826,ILLINOIS TOOL WORKS INC,ITW,NYSE
0001133421,NORTHROP GRUMMAN CORP /DE/,NOC,NYSE
0000823768,WASTE MANAGEMENT INC,WM,NYSE
0001443276,Tokyo Electron LTD,TOELY,OTC
0000310732,BNP PARIBAS,BNPQY,OTC
0000929869,RELX PLC,RELX,NYSE
0001067491,Infosys Ltd,INFY,NYSE
0000010795,BECTON DICKINSON & CO,BDX,NYSE
0000748954,ATLAS COPCO AB,ATLKY,OTC
0001096200,ENEL SOCIETA PER AZIONI,ENLAY,OTC
0000040533,GENERAL DYNAMICS CORP,GD,NYSE
0000315293,Aon plc,AON,NYSE
0001326160,Duke Energy CORP,DUK,NYSE
0001091587,ABB LTD,ABBNY,OTC
0001596532,"Arista Networks, Inc.",ANET,NYSE
0000948401,COMPAGNIE FINANCIERE RICHEMONT AG /FI,CFRUY,OTC
0001067318,DAIMLER AG,MBGYY,OTC
0001524684,Glencore plc/ADR,GLNCY,OTC
0000089800,SHERWIN WILLIAMS CO,SHW,NYSE
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CP,NYSE
0001124610,"VMWARE, INC.",VMW,NYSE
0001442651,"Shin-Etsu Chemical Co., Ltd.",SHECY,OTC
0001059556,MOODYS CORP /DE/,MCO,NYSE
0000927653,MCKESSON CORP,MCK,NYSE
0000021665,COLGATE PALMOLIVE CO,CL,NYSE
0000917851,Vale S.A.,VALE,NYSE
0001571949,"Intercontinental Exchange, Inc.",ICE,NYSE
0000891478,"Banco Santander, S.A.",SAN,NYSE
0001648416,Ferrari N.V.,RACE,NYSE
0001022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",SMFG,NYSE
0000860730,"HCA Healthcare, Inc.",HCA,NYSE
0001048911,FEDEX CORP,FDX,NYSE
0000049071,HUMANA INC,HUM,NYSE
0001075124,THOMSON REUTERS CORP /CAN/,TRI,NYSE
0001605484,Stellantis N.V.,STLA,NYSE
0000277948,CSX CORP,CSX,Nasdaq
0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Nasdaq
0001327811,"Workday, Inc.",WDAY,Nasdaq
0001058090,CHIPOTLE MEXICAN GRILL INC,CMG,NYSE
0000898173,O REILLY AUTOMOTIVE INC,ORLY,Nasdaq
0000002969,"Air Products & Chemicals, Inc.",APD,NYSE
0001132597,Itau Unibanco Holding S.A.,ITUB,NYSE
0001633917,"PayPal Holdings, Inc.",PYPL,Nasdaq
0001048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,Nasdaq
0000865752,Monster Beverage Corp,MNST,Nasdaq
0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,EPD,NYSE
0000927971,BANK OF MONTREAL /CAN/,BMO,NYSE
0001510295,Marathon Petroleum Corp,MPC,NYSE
0000882835,ROPER TECHNOLOGIES INC,ROP,Nasdaq
0001545460,"Oriental Land Co., Ltd./ADR",OLCLY,OTC
0001260221,TransDigm Group INC,TDG,NYSE
0001038357,PIONEER NATURAL RESOURCES CO,PXD,NYSE
0000723254,CINTAS CORP,CTAS,Nasdaq
0001001838,SOUTHERN COPPER CORP/,SCCO,NYSE
0001129137,AMERICA MOVIL SAB DE CV/,AMX,NYSE
0000076334,PARKER HANNIFIN CORP,PH,NYSE
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,OXY,NYSE
0000354190,Arthur J. Gallagher & Co.,AJG,NYSE
0001571996,Dell Technologies Inc.,DELL,NYSE
0001002242,ENI SPA,E,NYSE
0000036104,US BANCORP \DE\,USB,NYSE
0001397187,lululemon athletica inc.,LULU,Nasdaq
0001640147,Snowflake Inc.,SNOW,NYSE
0001001085,BROOKFIELD Corp /ON/,BN,NYSE
0001973239,ARM HOLDINGS PLC /UK,ARM,Nasdaq
0000009631,BANK OF NOVA SCOTIA,BNS,NYSE
0000820313,AMPHENOL CORP /DE/,APH,NYSE
0000068505,"Motorola Solutions, Inc.",MSI,NYSE
0000066740,3M CO,MMM,NYSE
0001466258,Trane Technologies plc,TT,NYSE
0000031462,ECOLAB INC.,ECL,NYSE
0000842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BBVA,NYSE
0001534701,Phillips 66,PSX,NYSE
0001060391,"REPUBLIC SERVICES, INC.",RSG,NYSE
0000027419,TARGET CORP,TGT,NYSE
0000032604,EMERSON ELECTRIC CO,EMR,NYSE
0001858681,"Apollo Global Management, Inc.",APO,NYSE
0000715153,HONDA MOTOR CO LTD,HMC,NYSE
0000831259,FREEPORT-MCMORAN INC,FCX,NYSE
0001535527,"CrowdStrike Holdings, Inc.",CRWD,Nasdaq
0000866787,AUTOZONE INC,AZO,NYSE
0001947559,ANZ GROUP HOLDINGS LIMITED/ADR,ANZGY,OTC
0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,NYSE
0000004977,AFLAC INC,AFL,NYSE
0001413447,NXP Semiconductors N.V.,NXPI,Nasdaq
0000766704,WELLTOWER INC.,WELL,NYSE
0001222333,SPDR GOLD TRUST,GLD,NYSE
0000900075,COPART INC,CPRT,Nasdaq
0001446598,Denso Corp,DNZOY,OTC
0001835632,"Marvell Technology, Inc.",MRVL,Nasdaq
0000075362,PACCAR INC,PCAR,Nasdaq
0001039765,ING GROEP NV,ING,NYSE
0000030554,"EIDP, Inc.",CTA-PA,NYSE
0000769397,"Autodesk, Inc.",ADSK,Nasdaq
0001650372,Atlassian Corp,TEAM,Nasdaq
0001471055,Banco Santander (Brasil) S.A.,BSBR,NYSE
0001004315,NATIONAL GRID PLC,NGG,NYSE
0000702165,NORFOLK SOUTHERN CORP,NSC,NYSE
0001446519,Daikin Industries Ltd,DKILY,OTC
0001099219,METLIFE INC,MET,NYSE
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,NYSE
0001276187,Energy Transfer LP,ET,NYSE
0000016918,"CONSTELLATION BRANDS, INC.",STZ,NYSE
0001032208,SEMPRA,SRE,NYSE
0001418135,Keurig Dr Pepper Inc.,KDP,Nasdaq
0000004447,HESS CORP,HES,NYSE
0001393311,Public Storage,PSA,NYSE
0000311337,SUNCOR ENERGY INC,SU,NYSE
0001565025,AMBEV S.A.,ABEV,NYSE
0001063761,SIMON PROPERTY GROUP INC /DE/,SPG,NYSE
0001321655,Palantir Technologies Inc.,PLTR,NYSE
0001395064,TAKEDA PHARMACEUTICAL CO LTD,TAK,NYSE
0000107263,"WILLIAMS COMPANIES, INC.",WMB,NYSE
0001783180,CARRIER GLOBAL Corp,CARR,NYSE
0000878927,"OLD DOMINION FREIGHT LINE, INC.",ODFL,Nasdaq
0000849395,CRH PUBLIC LTD CO,CRH,NYSE
0001004980,PG&E Corp,PCG,NYSE
0001035002,VALERO ENERGY CORP/TX,VLO,NYSE
0000895564,BAE SYSTEMS PLC /FI/,BAESY,OTC
0001585689,Hilton Worldwide Holdings Inc.,HLT,NYSE
0001335730,MIZUHO FINANCIAL GROUP INC,MFG,NYSE
0000745732,"ROSS STORES, INC.",ROST,Nasdaq
0000827054,MICROCHIP TECHNOLOGY INC,MCHP,Nasdaq
0000723531,PAYCHEX INC,PAYX,Nasdaq
0001051470,CROWN CASTLE INC.,CCI,NYSE
0000882184,HORTON D R INC /DE/,DHI,NYSE
0000055785,KIMBERLY CLARK CORP,KMB,NYSE
0001637459,Kraft Heinz Co,KHC,Nasdaq
0000003570,"Cheniere Energy, Inc.",LNG,NYSE
0001001250,ESTEE LAUDER COMPANIES INC,EL,NYSE
0001549802,"JD.com, Inc.",JD,Nasdaq
0001691493,Nu Holdings Ltd.,NU,NYSE
0001060736,Seagen Inc.,SGEN,Nasdaq
0001140859,"Cencora, Inc.",COR,NYSE
0001408198,MSCI Inc.,MSCI,NYSE
0000047111,HERSHEY CO,HSY,NYSE
0000004904,AMERICAN ELECTRIC POWER CO INC,AEP,Nasdaq
0001791706,Li Auto Inc.,LI,Nasdaq
0000927628,CAPITAL ONE FINANCIAL CORP,COF,NYSE
0001164727,NEWMONT Corp /DE/,NEM,NYSE
0001297996,"DIGITAL REALTY TRUST, INC.",DLR,NYSE
0000277135,"W.W. GRAINGER, INC.",GWW,NYSE
0001099800,Edwards Lifesciences Corp,EW,NYSE
0000037996,FORD MOTOR CO,F,NYSE
0001385157,TE Connectivity Ltd.,TEL,NYSE
0000092230,TRUIST FINANCIAL CORP,TFC,NYSE
0000086312,"TRAVELERS COMPANIES, INC.",TRV,NYSE
0001868275,Constellation Energy Corp,CEG,Nasdaq
0000007084,Archer-Daniels-Midland Co,ADM,NYSE
0001109357,EXELON CORP,EXC,Nasdaq
0001262039,"Fortinet, Inc.",FTNT,Nasdaq
0000844551,WOODSIDE ENERGY GROUP LTD,WDS,NYSE
0001071739,CENTENE CORP,CNC,NYSE
0000948696,LafargeHolcim Ltd/ADR,HCMLY,OTC
0001279967,CREDIT AGRICOLE S A,CRARY,OTC
0000040704,GENERAL MILLS INC,GIS,NYSE
0001093557,DEXCOM INC,DXCM,Nasdaq
0001329099,"Baidu, Inc.",BIDU,Nasdaq
0001039684,ONEOK INC /NEW/,OKE,NYSE
0000073309,NUCOR CORP,NUE,NYSE
0000932787,STMicroelectronics N.V.,STM,NYSE
0000715957,"DOMINION ENERGY, INC",D,NYSE
0001232384,TC ENERGY CORP,TRP,NYSE
0001900304,Haleon plc,HLN,NYSE
0001467858,General Motors Co,GM,NYSE
0001506307,"KINDER MORGAN, INC.",KMI,NYSE
0001944048,Kenvue Inc.,KVUE,NYSE
0001450468,"Murata Manufacturing Co., Ltd./ADR",MRAAY,OTC
0001300514,LAS VEGAS SANDS CORP,LVS,NYSE
0000874716,IDEXX LABORATORIES INC /DE,IDXX,Nasdaq
0001792789,"DoorDash, Inc.",DASH,Nasdaq
0000726728,REALTY INCOME CORP,O,NYSE
0001278680,ISHARES GOLD TRUST,IAU,NYSE
0000712515,ELECTRONIC ARTS INC.,EA,Nasdaq
0001167379,ALCON INC,ALC,NYSE
0001552000,MPLX LP,MPLX,NYSE
0000718940,BCE INC,BCE,NYSE
0001478242,IQVIA HOLDINGS INC.,IQV,NYSE
0001041061,YUM BRANDS INC,YUM,NYSE
0001701605,Baker Hughes Co,BKR,Nasdaq
0001037868,AMETEK INC/,AME,NYSE
0001045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,CM,NYSE
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",LHX,NYSE
0001390777,Bank of New York Mellon Corp,BK,NYSE
0001461748,PT Bank Mandiri (Persero) Tbk / ADR,PPERY,OTC
0000045012,HALLIBURTON CO,HAL,NYSE
0001751788,DOW INC.,DOW,NYSE
0000833444,Johnson Controls International plc,JCI,NYSE
0001442145,"Verisk Analytics, Inc.",VRSK,Nasdaq
0000920760,LENNAR CORP /NEW/,LEN,NYSE
0001561550,"Datadog, Inc.",DDOG,Nasdaq
0001381197,"Interactive Brokers Group, Inc.",IBKR,Nasdaq
0001475260,CENOVUS ENERGY INC.,CVE,NYSE
0000815556,FASTENAL CO,FAST,Nasdaq
0001086888,MANULIFE FINANCIAL CORP,MFC,NYSE
0000820027,AMERIPRISE FINANCIAL INC,AMP,NYSE
0000096021,SYSCO CORP,SYY,NYSE
0000899051,ALLSTATE CORP,ALL,NYSE
0001318220,"Waste Connections, Inc.",WCN,NYSE
0001639920,Spotify Technology S.A.,SPOT,NYSE
0001781335,Otis Worldwide Corp,OTIS,NYSE
0001176948,Ares Management Corp,ARES,NYSE
0001160106,Lloyds Banking Group plc,LYG,NYSE
0001137774,PRUDENTIAL FINANCIAL INC,PRU,NYSE
0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Nasdaq
0000749251,GARTNER INC,IT,NYSE
0001832433,Ferguson plc,FERG,NYSE
0000947484,ARCH CAPITAL GROUP LTD.,ACGL,Nasdaq
0000072903,XCEL ENERGY INC,XEL,Nasdaq
0000875045,BIOGEN INC.,BIIB,Nasdaq
0001057352,"COSTAR GROUP, INC.",CSGP,Nasdaq
0001932393,GE HealthCare Technologies Inc.,GEHC,Nasdaq
0001512673,"Block, Inc.",SQ,NYSE
0001160330,BANK BRADESCO,BBD,NYSE
0001755672,"Corteva, Inc.",CTVA,NYSE
0000861967,WOLTERS KLUWER N V /FI,WTKWY,OTC
0000056873,KROGER CO,KR,NYSE
0001038143,ORANGE,ORAN,NYSE
0001067701,"UNITED RENTALS, INC.",URI,NYSE
0000049938,IMPERIAL OIL LTD,IMO,NYSE
0001090872,"AGILENT TECHNOLOGIES, INC.",A,NYSE
0001136893,"Fidelity National Information Services, Inc.",FIS,NYSE
0001021020,OSTERREICHISCHE ELEKTRIZITATSWIRTSCHAFTS /FI,OEZVY,OTC
0001671933,"Trade Desk, Inc.",TTD,Nasdaq
0001910139,Mobileye Global Inc.,MBLY,Nasdaq
0000026172,CUMMINS INC,CMI,NYSE
0001116578,PRUDENTIAL PLC,PUK,NYSE
0000079879,PPG INDUSTRIES INC,PPG,NYSE
0001618756,Restaurant Brands International Inc.,QSR,NYSE
0001047862,CONSOLIDATED EDISON INC,ED,NYSE
0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,NYSE
0001489393,LyondellBasell Industries N.V.,LYB,NYSE
0001376891,Experian Group LTD,EXPGY,OTC
0001024478,"ROCKWELL AUTOMATION, INC",ROK,NYSE
0001120193,"NASDAQ, INC.",NDAQ,Nasdaq
0001947542,Telstra Group Ltd,TLGPY,OTC
0001666700,"DuPont de Nemours, Inc.",DD,NYSE
0001012037,COMPAGNIE DE SAINT GOBAIN,CODYY,OTC
0001697862,ARGENX SE,ARGX,Nasdaq
0001090012,DEVON ENERGY CORP/DE,DVN,NYSE
0001433913,BANCO DO BRASIL S.A.,BDORY,OTC
0001705696,VICI PROPERTIES INC.,VICI,NYSE
0001709048,GLOBALFOUNDRIES Inc.,GFS,Nasdaq
0001097864,ON SEMICONDUCTOR CORP,ON,Nasdaq
0001402057,CDW Corp,CDW,Nasdaq
0001123360,GLOBAL PAYMENTS INC,GPN,NYSE
0001539838,"Diamondback Energy, Inc.",FANG,Nasdaq
0001132924,CHUNGHWA TELECOM CO LTD,CHT,NYSE
0001650107,COCA-COLA EUROPACIFIC PARTNERS plc,CCEP,Nasdaq
0001699150,Ingersoll Rand Inc.,IR,NYSE
0001097362,SUN LIFE FINANCIAL INC,SLF,NYSE
0000916076,MARTIN MARIETTA MATERIALS INC,MLM,NYSE
0001396009,Vulcan Materials CO,VMC,NYSE
0001041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,DIA,NYSE
0000014693,BROWN FORMAN CORP,BF-B,NYSE
0001383650,"Cheniere Energy Partners, L.P.",CQP,NYSE
0001834584,"Coupang, Inc.",CPNG,NYSE
0000047217,HP INC,HPQ,NYSE
0000850918,GREAT-WEST LIFECO INC.,GWLIF,OTC
0001441816,"MongoDB, Inc.",MDB,Nasdaq
0001725964,Nutrien Ltd.,NTR,NYSE
0001041792,ENERGY CO OF PARANA,ELP,NYSE
0000756894,BARRICK GOLD CORP,GOLD,NYSE
0001682852,"Moderna, Inc.",MRNA,Nasdaq
0001393052,VEEVA SYSTEMS INC,VEEV,NYSE
0001713683,"Zscaler, Inc.",ZS,Nasdaq
0001703399,Sea Ltd,SE,NYSE
0000889132,POSCO HOLDINGS INC.,PKX,NYSE
0000721371,CARDINAL HEALTH INC,CAH,NYSE
0000839923,VODAFONE GROUP PUBLIC LTD CO,VOD,Nasdaq
0001050915,"QUANTA SERVICES, INC.",PWR,NYSE
0001289490,Extra Space Storage Inc.,EXR,NYSE
0000029534,DOLLAR GENERAL CORP,DG,NYSE
0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,TTWO,Nasdaq
0000312069,BARCLAYS PLC,BCS,NYSE
0001013462,ANSYS INC,ANSS,Nasdaq
0000884887,ROYAL CARIBBEAN CRUISES LTD,RCL,NYSE
0000868675,TELUS CORP,TU,NYSE
0001140536,WILLIS TOWERS WATSON PLC,WTW,Nasdaq
0000783325,"WEC ENERGY GROUP, INC.",WEC,NYSE
0000105770,WEST PHARMACEUTICAL SERVICES INC,WST,NYSE
0000814547,FAIR ISAAC CORP,FICO,NYSE
0001353283,SPLUNK INC,SPLK,Nasdaq
0000935703,"DOLLAR TREE, INC.",DLTR,Nasdaq
0000936958,SPDR S&P MIDCAP 400 ETF TRUST,MDY,NYSE
0001280452,MONOLITHIC POWER SYSTEMS INC,MPWR,Nasdaq
0001038683,RYANAIR HOLDINGS PLC,RYAAY,Nasdaq
0001444406,ECOPETROL S.A.,EC,NYSE
0000016988,CANON INC,CAJPY,OTC
0001315098,Roblox Corp,RBLX,NYSE
0000827052,EDISON INTERNATIONAL,EIX,NYSE
0001446596,Fanuc Ltd,FANUY,OTC
0001437107,"Warner Bros. Discovery, Inc.",WBD,Nasdaq
0001524472,Xylem Inc.,XYL,NYSE
0001410636,"American Water Works Company, Inc.",AWK,NYSE
0001034054,SBA COMMUNICATIONS CORP,SBAC,Nasdaq
0000024741,CORNING INC /NY,GLW,NYSE
0001123799,WIPRO LTD,WIT,NYSE
0000915912,AVALONBAY COMMUNITIES INC,AVB,NYSE
0001776985,BioNTech SE,BNTX,Nasdaq
0000002809,AGNICO EAGLE MINES LTD,AEM,NYSE
0001061574,CGI INC,GIB,NYSE
0001659166,Fortive Corp,FTV,NYSE
0000814052,TELEFONICA S A,TEF,NYSE
0001269238,Trip.com Group Ltd,TCOM,Nasdaq
0001159508,DEUTSCHE BANK AKTIENGESELLSCHAFT,DB,NYSE
0000033185,EQUIFAX INC,EFX,NYSE
0001456346,FRANCO NEVADA Corp,FNV,NYSE
0001334687,CENTRAL JAPAN RAILWAY CO,CJPRY,OTC
0001136869,"ZIMMER BIOMET HOLDINGS, INC.",ZBH,NYSE
0000313927,CHURCH & DWIGHT CO INC /DE/,CHD,NYSE
0001001807,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,TLK,NYSE
0000874766,"HARTFORD FINANCIAL SERVICES GROUP, INC.",HIG,NYSE
0001121788,GARMIN LTD,GRMN,NYSE
0001138118,"CBRE GROUP, INC.",CBRE,NYSE
0000733099,ROGERS COMMUNICATIONS INC,RCI,NYSE
0001037646,METTLER TOLEDO INTERNATIONAL INC/,MTD,NYSE
0000915191,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,FRFHF,OTC
0001679788,"Coinbase Global, Inc.",COIN,Nasdaq
0000027904,"DELTA AIR LINES, INC.",DAL,NYSE
0001446437,Yahoo! Japan Corp,YAHOY,OTC
0001404655,HUBSPOT INC,HUBS,NYSE
0001601046,"Keysight Technologies, Inc.",KEYS,NYSE
0001758730,Tradeweb Markets Inc.,TW,Nasdaq
0000106535,WEYERHAEUSER CO,WY,NYSE
0000063271,PANASONIC Corp,PCRFY,OTC
0001477333,"Cloudflare, Inc.",NET,NYSE
0001521332,Aptiv PLC,APTV,NYSE
0000844150,NatWest Group plc,NWG,NYSE
0001014473,VERISIGN INC/CA,VRSN,Nasdaq
